UT (Unique WOS ID),R0-IR1-RF-qwen2.5,R2-IR9-RF-llama3.2,R6-IR3-RF-qwen2.5,R0-IR1-IF-qwen2.5,R0-IR1-IF-llama3.2,R3-IR6-RF-llama3.2,R1-IR0-RF-llama3.2,R5-IR3-RF-llama3.2,R3-IR2-RF-llama3.2,R2-IR3-RF-qwen2.5,R6-IR3-RF-llama3.2,R3-IR2-RF-qwen2.5,R9-IR2-RF-qwen2.5,R3-IR6-RF-qwen2.5,R1-IR0-IF-llama3.2,R5-IR3-RF-qwen2.5,R1-IR0-IF-qwen2.5,R3-IR5-RF-qwen2.5,R0-IR1-RF-llama3.2,R2-IR3-RF-llama3.2,R1-IR0-RF-qwen2.5,R3-IR5-RF-llama3.2,R9-IR2-RF-llama3.2,R2-IR9-RF-qwen2.5,True_Count,False_Count,Agreement_Rate,Category,Human,Consensus_Label,Consensus_Correct
WOS:001751265100001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001433788000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000178250400025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000620269500001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000088339300018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:A1978FL84300013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001620424500001,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,21,0.875,Majority False,0,0,True
WOS:000222075300005,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,21,0.875,Majority False,0,0,True
WOS:000301340200013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:A1981MK37500010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000369455700006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000729946100001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000264406300009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
